fecha,empresa,localidad,provincia,insumo,cupo_total_asignado_m3,produccion__m3,ventas_totales__m3,ventas_a_axion_m3,ventas_a_petrobras_m3,ventas_a_fox_petrol_m3,ventas_a_refineria_del_norte_m3,ventas_a_shell_m3,ventas_a_ypf_m3,ventas_a_energia_derivada_del_petroleo_m3,ventas_a_oil_combustibles_m3,ventas_a_trafigura_oil_m3
10/1/2012,BIOETANOL RÍO CUARTO S.A.,RÍO CUARTO,CÓRDOBA,MAÍZ,7500,5526.019962,5514.706254,0,0,0,0,1920.05,3594.66,0,0,0
10/1/2012,BIOLEDESMA S.A.,LEDESMA,JUJUY,CAÑA DE AZÚCAR,5083,4124.864182,4376.234997,622.38,0,0,0,691.02,2180.92,65.85,816.06,0
10/1/2012,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,3017,2246.392925,1585.622236,0,0,0,0,0,1585.62,0,0,0
10/1/2012,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,4000,4015.464308,3478.471257,0,0,0,623.57,0,2521.23,0,333.67,0
10/1/2012,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,1695.514845,2207.201516,1479.47,0,0,0,400.5,0,0,327.23,0
10/1/2012,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,1000,2662.514214,975.0600126,0,0,0,0,471.73,503.33,0,0,0
11/1/2012,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,4250,8280.998105,3800.998105,297,0,0,0,1507,1997,0,0,0
11/1/2012,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,600,733.6197094,610.7138345,0,0,0,0,0,610.71,0,0,0
11/1/2012,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,226.6582438,693.1396083,0,0,0,0,0,693.14,0,0,0
11/1/2012,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1200,1497.864814,1036.18446,489.7,546.48,0,0,0,0,0,0,0
11/1/2012,BIOETANOL RÍO CUARTO S.A.,RÍO CUARTO,CÓRDOBA,MAÍZ,4507,4801.099179,4954.264056,911.81,262.28,0,0,1639.63,2140.55,0,0,0
11/1/2012,BIOLEDESMA S.A.,LEDESMA,JUJUY,CAÑA DE AZÚCAR,5083,4957.713203,4768.818699,889.85,0,0,0,727.23,2649.58,98.73,403.43,0
11/1/2012,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,1800,0,2328.603917,0,0,0,0,0,2328.61,0,0,0
11/1/2012,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,5000,4593.329122,4617.725837,285.16,222.4,0,599.2,0,3063.07,0,447.9,0
11/1/2012,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,2289.324068,2029.058749,1260.9,0,0,0,400.5,0,0,367.66,0
11/1/2012,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,1000,1359.570436,732.3310171,0,0,0,0,219.03,513.3,0,0,0
11/1/2012,VICENTÍN S.A.I.C.,AVELLANEDA,SANTA FE,MAÍZ,2100,0,0,0,0,0,0,0,0,0,0,0
12/1/2012,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,4250,5993.000632,5144.005054,298,0,0,0,3011,1835,0,0,0
12/1/2012,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,600,1071.396083,622.4636766,0,0,0,0,0,622.46,0,0,0
12/1/2012,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,0,676.2602653,0,0,0,0,0,676.26,0,0,0
12/1/2012,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1200,0,1267.744788,488.21,779.54,0,0,0,0,0,0,0
12/1/2012,BIOETANOL RÍO CUARTO S.A.,RÍO CUARTO,CÓRDOBA,MAÍZ,4657,4888.439672,4988.528111,909.18,299.58,0,0,1530.31,2249.46,0,0,0
12/1/2012,BIOLEDESMA S.A.,LEDESMA,JUJUY,CAÑA DE AZÚCAR,5333,4729.008212,5453.430196,694.87,0,0,0,692.08,3118.88,136.74,810.86,0
