ID Sitio,Traza,Sub-Traza,Localidad,Departamento,Provincia,Poblacion Censo 2010,Lat_sitio,Lon_sitio,Fecha Real de Conexión,Estado
2891,SAN ANTONIO OESTE - RIO COLORADO,SAN ANTONIO OESTE - PUERTO MADRYN,San Antonio Oeste,San Antonio,Rio Negro,16265,-40.7293666667,-64.9597944444,16/11/15,Conectado
2948,BAHIA BLANCA - SAN ANTONIO OESTE,VIEDMA - SAN JAVIER,San Javier,Adolfo Alsina,Rio Negro,530,-40.7517694444,-63.2663869444,17/11/16,Conectado
3480,ZAPALA - DINA HUAPI,VILLA LA ANGOSTURA - SAN CARLOS DE BARILOCHE,Villa La Angostura,Los Lagos,Neuquen,11063,-40.7624888889,-71.6394944444,11/01/17,Conectado
677,BAHIA BLANCA - SAN ANTONIO OESTE,BAHIA BLANCA - CARMEN de PATAGONES 10G,Carmen de Patagones,Patagones,Buenos Aires,20533,-40.7872083333,-62.9682527778,21/09/18,Conectado
1951,DINA HUAPI - SAN ANTONIO OESTE,SAN ANTONIO OESTE - BARILOCHE por MAQUINCHAO,Las Grutas,San Antonio,Rio Negro,4807,-40.8004361111,-65.0833833333,17/11/16,Conectado
3356,BAHIA BLANCA - SAN ANTONIO OESTE,VIEDMA - SAN JAVIER,Viedma,Adolfo Alsina,Rio Negro,52789,-40.8218244444,-63.0224411111,16/11/15,Conectado
2098,DINA HUAPI - SAN ANTONIO OESTE,SAN ANTONIO OESTE - BARILOCHE por MAQUINCHAO,Los Menucos,25 de Mayo,Rio Negro,5187,-40.8448805556,-68.0929416667,10/10/15,Conectado
122,DINA HUAPI - SAN ANTONIO OESTE,SAN ANTONIO OESTE - BARILOCHE por MAQUINCHAO,Aguada Cecilio,Valcheta,Rio Negro,155,-40.8486694444,-65.8426055556,05/10/15,Conectado
946,DINA HUAPI - SAN ANTONIO OESTE,BARILOCHE - SAN ANTONIO OESTE por MAQUINCHAO,Comallo,Pilcaniyeu,Rio Negro,1497,-41.0346638889,-70.2639805556,13/10/15,Conectado
3498,PERITO MORENO - DINA HUAPI,SAN CARLOS de BARILOCHE - EL BOLSON,Villa Llao Llao,Bariloche,Rio Negro,777,-41.051725,-71.5240361,14/09/18,Conectado
123,DINA HUAPI - SAN ANTONIO OESTE,SAN ANTONIO OESTE - BARILOCHE por MAQUINCHAO,Aguada de Guerra,25 de Mayo,Rio Negro,126,-41.0689722222,-68.3802666667,02/11/17,Conectado
1085,DINA HUAPI - SAN ANTONIO OESTE,BARILOCHE - SAN ANTONIO OESTE por MAQUINCHAO,Dina Huapi,Pilcaniyeu,Rio Negro,3469,-41.074825,-71.168925,14/10/15,Conectado
3389,PERITO MORENO - DINA HUAPI,SAN CARLOS de BARILOCHE - EL BOLSON,Villa Campanario,Bariloche,Rio Negro,828,-41.1012416,-71.45265,05/10/18,Conectado
2546,DINA HUAPI - SAN ANTONIO OESTE,BARILOCHE - SAN ANTONIO OESTE por MAQUINCHAO,Pilcaniyeu,Pilcaniyeu,Rio Negro,757,-41.1206444444,-70.7148472222,05/08/16,Conectado
2901,PERITO MORENO - DINA HUAPI,SAN CARLOS de BARILOCHE - EL BOLSON,San Carlos de Bariloche,Bariloche,Rio Negro,109305,-41.1332138889,-71.2771,01/12/15,Conectado
3501,PERITO MORENO - DINA HUAPI,SAN CARLOS de BARILOCHE - EL BOLSON,Villa Los Coihues,Bariloche,Rio Negro,1919,-41.153525,-71.4079138,07/09/18,Conectado
418,PERITO MORENO - DINA HUAPI,SAN CARLOS de BARILOCHE - EL BOLSON,Barrio El Pilar,Bariloche,Rio Negro,521,-41.1706833,-71.3372833,05/10/18,Conectado
824,DINA HUAPI - SAN ANTONIO OESTE,BARILOCHE - SAN ANTONIO OESTE por MAQUINCHAO,Clemente Onelli,25 de Mayo,Rio Negro,114,-41.2457777778,-70.0319583333,31/08/18,Conectado
2200,DINA HUAPI - SAN ANTONIO OESTE,BARILOCHE - SAN ANTONIO OESTE por MAQUINCHAO,Maquinchao,25 de Mayo,Rio Negro,2494,-41.2572388889,-68.7006027778,11/10/15,Conectado
1619,DINA HUAPI - SAN ANTONIO OESTE,BARILOCHE - SAN ANTONIO OESTE por MAQUINCHAO,Ingeniero Jacobacci,25 de Mayo,Rio Negro,6261,-41.3345277778,-69.5312222222,12/10/15,Conectado
2801,PERITO MORENO - DINA HUAPI,SAN CARLOS de BARILOCHE - EL BOLSON,Rio Villegas,Bariloche,Rio Negro,75,-41.58725,-71.4915944,27/04/18,Conectado
1171,PERITO MORENO - DINA HUAPI,SAN CARLOS de BARILOCHE - EL BOLSON,El Foyel,Bariloche,Rio Negro,155,-41.6531111,-71.4595277,07/12/17,Conectado
1125,PERITO MORENO - DINA HUAPI,SAN CARLOS de BARILOCHE - EL BOLSON,El Bolson,Bariloche,Rio Negro,17126,-41.9729055556,-71.5275166667,11/12/15,Conectado
1882,PERITO MORENO - DINA HUAPI,EL BOLSON - EPUYEN,Lago Puelo Ruta,Cushamen,Chubut,3129,-42.0258111,-71.5465416,30/11/17,Conectado
1175,PERITO MORENO - DINA HUAPI,EL BOLSON - EPUYEN,El Hoyo,Cushamen,Chubut,1477,-42.067075,-71.5193166,13/04/18,Conectado
1281,PERITO MORENO - DINA HUAPI,EL BOLSON - EPUYEN,Epuyen,Cushamen,Chubut,1038,-42.2283722222,-71.3550861111,15/11/15,Conectado
1881,PERITO MORENO - DINA HUAPI,EPUYEN - LAGO EPUYEN,Lago Epuyen,Cushamen,Chubut,392,-42.2283722222,-71.3550861111,01/11/16,Conectado
1292,PERITO MORENO - DINA HUAPI,EPUYEN - ESQUEL,Esquel,Futaleufú,Chubut,32343,-42.9048111111,-71.2921944444,15/01/16,Conectado
3228,PERITO MORENO - DINA HUAPI,TECKA - JOSE de SAN MARTIN,Tecka,Languiñeo,Chubut,1237,-43.5003444444,-70.8049083333,15/01/16,Conectado
1671,PERITO MORENO - DINA HUAPI,JOSE de SAN MARTIN - ALTO RIO SENGUER,Jose de San Martin,Tehuelches,Chubut,1612,-44.0490305556,-70.4768222222,15/01/16,Conectado
1483,PERITO MORENO - DINA HUAPI,JOSE de SAN MARTIN - GOBERNADOR COSTA,Gobernador Costa,Tehuelches,Chubut,2251,-44.0547111111,-70.6092027778,01/11/16,Conectado
196,PERITO MORENO - DINA HUAPI,ALTO RIO SENGUER - RIO MAYO,Alto Rio Senguer,Río Senguer,Chubut,1570,-45.036475,-70.8120416667,15/01/16,Conectado
2792,PERITO MORENO - DINA HUAPI,RIO MAYO - PERITO MORENO,Rio Mayo,Río Senguer,Chubut,2791,-45.6910416667,-70.2496805556,06/10/15,Conectado
3705,PICO TRUNCADO - PERITO MORENO,CALETA OLIVIA - PICO TRUNCADO,Caleta Olivia,Deseado,Santa Cruz,51733,-46.4707805556,-67.5180361111,06/10/15,Conectado
894,PICO TRUNCADO - PERITO MORENO,PICO TRUNCADO - COLONIA LAS HERAS,Colonia Las Heras,Deseado,Santa Cruz,18712,-46.5436361111,-68.9077333333,06/10/15,Conectado
641,,,Cañadon Seco,Deseado,Santa Cruz,879,-46.5615722222,-67.6067444444,24/08/18,Conectado
2523,PERITO MORENO - DINA HUAPI,PERITO MORENO - EL PLUMA,Perito Moreno,Lago Buenos Aires,Santa Cruz,4617,-46.5890277778,-70.9123138889,06/10/15,Conectado
1710,PICO TRUNCADO - PERITO MORENO,PICO TRUNCADO - COLONIA LAS HERAS,Koluel Kaike,Deseado,Santa Cruz,250,-46.7178638889,-68.2162638889,17/10/16,Conectado
2533,PICO TRUNCADO - PERITO MORENO,PICO TRUNCADO - COLONIA LAS HERAS,Pico Truncado,Deseado,Santa Cruz,20889,-46.7923638889,-67.9456666667,06/10/15,Conectado
339,RIO GALLEGOS - PERITO MORENO,GOBERNADOR GREGORES - PERITO MORENO,Bajo Caracoles,Río Chico,Santa Cruz,33,-47.4451222222,-70.9274444444,01/11/16,Conectado
1489,RIO GALLEGOS - PERITO MORENO,GOBERNADOR GREGORES - PERITO MORENO,Gobernador Gregores,Río Chico,Santa Cruz,4497,-48.749,-70.2498611111,02/01/16,Conectado
3289,RIO GALLEGOS - PERITO MORENO,EL CALAFATE - GOBERNADOR GREGORES,Tres Lagos,Lago Argentino,Santa Cruz,282,-49.5989416667,-71.4529027778,16/09/15,Conectado
1134,RIO GALLEGOS - PERITO MORENO,EL CALAFATE - GOBERNADOR GREGORES,El Calafate,Lago Argentino,Santa Cruz,16655,-50.3386361111,-72.2545694444,22/12/15,Conectado
1290,RIO GALLEGOS - PERITO MORENO,ESPERANZA - EL CALAFATE,Esperanza,Güer Aike,Santa Cruz,142,-51.0286111111,-70.7772388889,28/01/16,Conectado
2789,RIO GALLEGOS - PERITO MORENO,RIO GALLEGOS - CULLEN,Rio Gallegos,Güer Aike,Santa Cruz,95796,-51.6240388889,-69.236325,30/11/15,Conectado
3784,RIO GALLEGOS - PAMPA DEL RINCON,FOADM,Pampa del Rincon,,Tierra del Fuego,10,-52.8140333333,-68.4803583333,21/09/17,Conectado
