yacimiento,provincia,mineraliza,geojson,geom
SAN JOSE,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-69.3530011369797,-29.6896148298617]}",0101000020E6100000D2B11492975651C0B217F5988AB03DC0
SAN JUDAS,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-69.407112424335,-29.7053557585941]}",0101000020E6100000181445210E5A51C0FF34EB3192B43DC0
CERRO ASPERO,SAN JUAN,URANIO,"{""type"":""Point"",""coordinates"":[-68.7576620049789,-29.7497777552086]}",0101000020E61000009A33C7887D3051C0AEE3596FF1BF3DC0
GENERAL BELGRANO,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-68.6690088148395,-29.8039117921631]}",0101000020E61000002A1E590AD12A51C08B35C829CDCD3DC0
LAS CATITAS,SAN JUAN,URANIO,"{""type"":""Point"",""coordinates"":[-68.8057508455845,-29.8213203113596]}",0101000020E61000009FA0FE6B913351C088D4440C42D23DC0
RETIRO,CORDOBA,MANGANESO,"{""type"":""Point"",""coordinates"":[-64.1479272218554,-29.9527389359049]}",0101000020E6100000A903BDA3770950C06C56EBB2E6F33DC0
LA SALAMANCA,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-68.6985772393979,-29.8389195928759]}",0101000020E6100000673C4F7DB52C51C02C60376FC3D63DC0
CERRO BLANCO,SAN JUAN,URANIO,"{""type"":""Point"",""coordinates"":[-68.7622484342451,-29.8868706108652]}",0101000020E61000009F20A8ADC83051C00C73CDF309E33DC0
DESPRECIADA,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-69.0303245939364,-29.891008571331]}",0101000020E610000029CE90D6F04151C07952422319E43DC0
JULIO CESAR,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.6478469497562,-29.8795385536787]}",0101000020E610000008810D53766951C0009F4B7029E13DC0
LA PUNILLA,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-69.0381681094047,-29.9433410479596]}",0101000020E61000002C69A758714251C007F685CC7EF13DC0
EL RANCHITO,SAN JUAN,URANIO,"{""type"":""Point"",""coordinates"":[-68.6092546076492,-29.9653532624712]}",0101000020E61000009AB20907FE2651C08866336421F73DC0
